Aaliyah,BLUE,b,042cc572,onto,6
Abel,GREEN,b,59fa43e9,signal,8
Ace,YELLOW,b,3f0b2757,light,6759
Ada,YELLOW,c,042f55dd,barn,18
Adaline,GREEN,b,c2cf1876,faster,79
Adalyn,RED,b,73e3644f,rubbed,4
Adeline,RED,c,c4154385,pine,881
Adira,YELLOW,c,8b42bc1b,beat,2
Aditya,RED,c,b97d3947,year,5536
Adonis,YELLOW,c,e3db0481,dot,1801
Adrian,YELLOW,c,9251e7ae,disappear,3383
Adriel,GREEN,a,ffbaa4a2,bow,48563
Ahmed,BLUE,d,3c92d09d,develop,7
Aiden,YELLOW,b,eebc87fa,burn,1
Aisha,RED,a,ba1bd8b9,stop,32301
Akira,GREEN,b,a5505c7a,understanding,7923
Alaia,YELLOW,a,dba64d58,we,63958
Alaina,GREEN,b,e68ca9f6,struck,7300
Alan,YELLOW,d,c4504625,you,542
Alana,RED,b,fb6eee9a,universe,47599
Alani,RED,a,18583117,mighty,50
Alayna,RED,b,95a3584c,pride,1113
Aleena,GREEN,b,344f71d5,secret,5
Alena,BLUE,b,ef352c42,hello,844
Alex,YELLOW,b,4a7b70a3,contrast,70517
Alexandra,RED,c,4de33f4e,customs,847
Ali,RED,a,11e058c2,gently,48006
Alice,RED,a,5bfc74cc,balance,72
Alina,BLUE,d,14b3840f,live,4
Alisa,BLUE,d,7d9f3882,lady,1821
Aliyah,BLUE,b,0803737b,near,6596
Aliza,YELLOW,d,8e55372f,idea,19
Alma,RED,b,9a7ad0b2,missing,20611
Alyssa,GREEN,d,19f5e770,pocket,35
Amani,BLUE,c,1f5b007a,protection,4398
Amara,GREEN,a,bc134524,separate,6
Amaris,BLUE,d,5238251a,vapor,5
Amaya,BLUE,a,32c0522e,look,5
Ambrose,YELLOW,b,7dbd80f6,truth,5
Amelia,RED,d,92927405,worse,4156
Amelie,BLUE,d,cd9dd94f,potatoes,14
Amir,BLUE,d,49ad1968,naturally,5759
Amira,BLUE,a,0deb2f23,furniture,3455
Amora,RED,a,dc45f7ad,business,805
Amos,YELLOW,a,9282dbc3,vegetable,59521
Amyra,GREEN,a,6a0b2b17,test,25519
Ana,RED,d,fcb14a32,changing,784
Andrea,BLUE,d,8130cc07,to,321
Annalise,RED,d,26321ed0,positive,3
Anya,GREEN,a,68847a68,drew,77
Arden,YELLOW,d,d8aedc7f,court,30
Ari,GREEN,b,90f49653,hill,6422
Aria,YELLOW,d,04fc8003,locate,9090
Arianna,YELLOW,b,5ecd53df,example,803
Ariella,RED,b,b416b0ae,measure,713
